drive_id,drive_start,drive_end
2016_02_BAL_CLE_4,Kickoff,Turnover
2016_02_BAL_CLE_5,Interception,Touchdown
2016_02_BAL_CLE_6,Kickoff,Turnover
2016_02_BAL_CLE_7,Fumble,Punt
2016_02_BAL_CLE_8,Punt,Punt
2016_02_BAL_CLE_9,Punt,Punt
2016_02_BAL_CLE_10,Punt,Touchdown
2016_02_BAL_CLE_11,Kickoff,Turnover
2016_02_BAL_CLE_12,Interception,Field Goal
2016_02_BAL_CLE_13,Kickoff,Touchdown
2016_02_BAL_CLE_14,Kickoff,Punt
2016_02_BAL_CLE_15,Punt,Turnover
2016_02_BAL_CLE_16,Interception,Punt
2016_02_BAL_CLE_17,Punt,Punt
2016_02_BAL_CLE_18,Punt,Field Goal
2016_02_BAL_CLE_20,Kickoff,Punt
2016_02_BAL_CLE_21,Punt,Field Goal
2016_02_BAL_CLE_22,Kickoff,Turnover
2016_02_CIN_PIT_1,Kickoff,Punt
2016_02_CIN_PIT_2,Punt,Punt
2016_02_CIN_PIT_3,Punt,Turnover
2016_02_CIN_PIT_4,Interception,Punt
2016_02_CIN_PIT_5,Punt,Touchdown
2016_02_CIN_PIT_6,Kickoff,Field Goal
2016_02_CIN_PIT_7,Kickoff,Punt
2016_02_CIN_PIT_8,Punt,Punt
2016_02_CIN_PIT_9,Punt,Punt
2016_02_CIN_PIT_10,Punt,Punt
2016_02_CIN_PIT_11,Punt,Punt
2016_02_CIN_PIT_12,Punt,Punt
2016_02_CIN_PIT_13,Punt,Field Goal
2016_02_CIN_PIT_14,Kickoff,Punt
2016_02_CIN_PIT_15,Punt,Turnover
2016_02_CIN_PIT_16,Interception,Field Goal
2016_02_CIN_PIT_17,Kickoff,Punt
2016_02_CIN_PIT_18,Punt,Punt
2016_02_CIN_PIT_19,Punt,Punt
2016_02_CIN_PIT_20,Punt,Touchdown
2016_02_CIN_PIT_21,Kickoff,Field Goal
2016_02_CIN_PIT_22,Kickoff,Punt
2016_02_CIN_PIT_23,Punt,Punt
2016_02_CIN_PIT_24,Punt,Touchdown
2016_02_CIN_PIT_25,Kickoff,Touchdown
2016_02_CIN_PIT_26,Kickoff,Punt
2016_02_CIN_PIT_27,Punt,Turnover
2016_02_CIN_PIT_28,Fumble,Punt
2016_02_DAL_WAS_1,Kickoff,Field Goal
2016_02_DAL_WAS_2,Kickoff,Punt
2016_02_DAL_WAS_3,Punt,Touchdown
2016_02_DAL_WAS_4,Kickoff,Touchdown
2016_02_DAL_WAS_5,Kickoff,Punt
2016_02_DAL_WAS_6,Punt,Punt
2016_02_DAL_WAS_7,Punt,Field Goal
2016_02_DAL_WAS_8,Kickoff,Field Goal
2016_02_DAL_WAS_10,Kickoff,Touchdown
2016_02_DAL_WAS_11,Kickoff,Touchdown
2016_02_DAL_WAS_12,Kickoff,Field Goal
2016_02_DAL_WAS_13,Kickoff,Turnover
2016_02_DAL_WAS_14,Fumble,Field Goal
2016_02_DAL_WAS_15,Kickoff,Punt
2016_02_DAL_WAS_16,Punt,Turnover
2016_02_DAL_WAS_17,Interception,Touchdown
2016_02_DAL_WAS_18,Kickoff,Turnover
2016_02_DAL_WAS_19,Fumble,Punt
2016_02_GB_MIN_1,Kickoff,Punt
2016_02_GB_MIN_3,Punt,Punt
2016_02_GB_MIN_4,Punt,Punt
2016_02_GB_MIN_5,Punt,Touchdown
2016_02_GB_MIN_6,Kickoff,Punt
2016_02_GB_MIN_7,Punt,Punt
2016_02_GB_MIN_8,Punt,Touchdown
2016_02_GB_MIN_9,Kickoff,Punt
2016_02_GB_MIN_10,Punt,Punt
2016_02_GB_MIN_11,Punt,Punt
2016_02_GB_MIN_12,Punt,Field Goal
2016_02_GB_MIN_14,Kickoff,Punt
2016_02_GB_MIN_15,Punt,Punt
2016_02_GB_MIN_16,Punt,Turnover
2016_02_GB_MIN_17,Fumble,Touchdown
2016_02_GB_MIN_18,Kickoff,Touchdown
2016_02_GB_MIN_19,Kickoff,Punt
2016_02_GB_MIN_20,Punt,Turnover
2016_02_GB_MIN_21,Fumble,Punt
2016_02_GB_MIN_22,Punt,Turnover
2016_02_GB_MIN_23,Interception,Turnover
2016_02_IND_DEN_1,Kickoff,Field Goal
2016_02_IND_DEN_3,Kickoff,Field Goal
2016_02_IND_DEN_4,Kickoff,Punt
2016_02_IND_DEN_5,Punt,Punt
2016_02_IND_DEN_6,Punt,Punt
2016_02_IND_DEN_7,Punt,Touchdown
2016_02_IND_DEN_8,Kickoff,Punt
2016_02_IND_DEN_9,Punt,Turnover
2016_02_IND_DEN_10,Interception,Field Goal
2016_02_IND_DEN_11,Kickoff,Field Goal
2016_02_IND_DEN_13,Kickoff,Touchdown
2016_02_IND_DEN_14,Kickoff,Field Goal
2016_02_IND_DEN_16,Kickoff,Punt
2016_02_IND_DEN_17,Punt,Punt
2016_02_IND_DEN_18,Punt,Touchdown
2016_02_IND_DEN_19,Kickoff,Field Goal
2016_02_JAX_SD_1,Kickoff,Touchdown
2016_02_JAX_SD_2,Kickoff,Punt
2016_02_JAX_SD_3,Punt,Punt
2016_02_JAX_SD_4,Punt,Turnover
2016_02_JAX_SD_5,Interception,Touchdown
2016_02_JAX_SD_6,Kickoff,Field Goal
2016_02_JAX_SD_8,Kickoff,Turnover
2016_02_JAX_SD_9,Fumble,Turnover
2016_02_JAX_SD_10,Fumble,Turnover
2016_02_JAX_SD_11,Interception,Punt
2016_02_JAX_SD_13,Kickoff,Punt
2016_02_JAX_SD_14,Punt,Touchdown
2016_02_JAX_SD_15,Kickoff,Punt
2016_02_JAX_SD_16,Punt,Punt
2016_02_JAX_SD_17,Punt,Punt
2016_02_JAX_SD_18,Punt,Touchdown
2016_02_JAX_SD_19,Kickoff,Touchdown
2016_02_JAX_SD_20,Kickoff,Field Goal
2016_02_JAX_SD_21,Kickoff,Turnover
2016_02_JAX_SD_22,Fumble,Punt
2016_02_JAX_SD_23,Punt,Touchdown
2016_02_KC_HOU_1,Kickoff,Turnover
2016_02_KC_HOU_2,Interception,Turnover
2016_02_KC_HOU_4,Kickoff,Punt
2016_02_KC_HOU_5,Punt,Punt
2016_02_KC_HOU_6,Punt,Punt
2016_02_KC_HOU_7,Punt,Punt
2016_02_KC_HOU_8,Punt,Field Goal
2016_02_KC_HOU_9,Kickoff,Punt
2016_02_KC_HOU_10,Punt,Punt
2016_02_KC_HOU_11,Punt,Field Goal
2016_02_KC_HOU_12,Kickoff,Turnover
2016_02_KC_HOU_13,Fumble,Field Goal
2016_02_KC_HOU_14,Kickoff,Turnover
2016_02_KC_HOU_15,Fumble,Field Goal
2016_02_KC_HOU_16,Kickoff,Punt
2016_02_KC_HOU_17,Punt,Punt
2016_02_KC_HOU_18,Punt,Punt
2016_02_KC_HOU_19,Punt,Punt
2016_02_KC_HOU_20,Punt,Punt
2016_02_KC_HOU_21,Punt,Turnover
2016_02_KC_HOU_22,Interception,Field Goal
2016_02_KC_HOU_23,Kickoff,Field Goal
2016_02_KC_HOU_24,Kickoff,Field Goal
2016_02_KC_HOU_25,Kickoff,Field Goal
2016_02_KC_HOU_26,Kickoff,Field Goal
2016_02_MIA_NE_1,Kickoff,Touchdown
2016_02_MIA_NE_2,Kickoff,Punt
2016_02_MIA_NE_3,Punt,Touchdown
2016_02_MIA_NE_4,Kickoff,Punt
2016_02_MIA_NE_5,Punt,Touchdown
2016_02_MIA_NE_6,Kickoff,Punt
2016_02_MIA_NE_7,Punt,Punt
2016_02_MIA_NE_8,Punt,Punt
2016_02_MIA_NE_9,Punt,Turnover
2016_02_MIA_NE_10,Fumble,Turnover
2016_02_MIA_NE_11,Fumble,Field Goal
2016_02_MIA_NE_12,Kickoff,Turnover
2016_02_MIA_NE_13,Interception,Punt
2016_02_MIA_NE_14,Punt,Field Goal
2016_02_MIA_NE_15,Kickoff,Turnover
2016_02_MIA_NE_16,Fumble,Touchdown
2016_02_MIA_NE_17,Kickoff,Touchdown
2016_02_MIA_NE_18,Kickoff,Punt
2016_02_MIA_NE_19,Punt,Touchdown
2016_02_MIA_NE_20,Kickoff,Punt
2016_02_MIA_NE_21,Punt,Touchdown
2016_02_MIA_NE_22,Kickoff,Field Goal
2016_02_NO_NYG_1,Kickoff,Punt
2016_02_NO_NYG_2,Punt,Punt
2016_02_NO_NYG_3,Punt,Punt
2016_02_NO_NYG_4,Punt,Turnover
2016_02_NO_NYG_5,Fumble,Punt
2016_02_NO_NYG_6,Punt,Turnover
2016_02_NO_NYG_7,Fumble,Punt
2016_02_NO_NYG_8,Punt,Turnover
